epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9823,0.80505,1.83123,1.34362,0.60222,0.51765,0.54131,0.32691,1.58368,5.44169,2.52054,0.000551326,0.000551326,0.000551326
2,82.7729,0.8252,1.2691,1.33728,0.84614,0.69123,0.77217,0.59614,1.0086,2.58458,1.78304,0.00108507,0.00108507,0.00108507
3,122.478,0.8128,1.08796,1.31255,0.87064,0.64204,0.75455,0.59126,1.0003,2.11242,1.72074,0.00159682,0.00159682,0.00159682
4,162.726,0.79264,0.97681,1.31268,0.8188,0.71012,0.78562,0.55671,1.07931,1.91183,1.84373,0.00156798,0.00156798,0.00156798
5,200.596,0.74284,0.90994,1.26829,0.86691,0.62429,0.78893,0.64224,0.79383,2.42414,1.56311,0.00153497,0.00153497,0.00153497
6,240.564,0.76007,0.88581,1.28714,0.854,0.72466,0.83929,0.68105,0.83895,1.33817,1.53063,0.00150197,0.00150197,0.00150197
7,279.024,0.74118,0.86311,1.25764,0.76825,0.74043,0.83327,0.6779,0.85081,1.18267,1.4863,0.00146896,0.00146896,0.00146896
8,319.823,0.71492,0.85309,1.24832,0.82735,0.84593,0.90112,0.73484,0.77904,1.05842,1.45565,0.00143595,0.00143595,0.00143595
9,360.195,0.70162,0.82191,1.23461,0.81225,0.7553,0.83721,0.64642,1.01554,1.21795,1.70016,0.00140295,0.00140295,0.00140295
10,398.782,0.6915,0.8042,1.22715,0.81871,0.78181,0.8831,0.75616,0.71828,0.95632,1.38447,0.00136994,0.00136994,0.00136994
11,438.957,0.67966,0.76223,1.21957,0.69139,0.68854,0.7663,0.61484,0.96976,1.29499,1.61156,0.00133693,0.00133693,0.00133693
12,477.903,0.67997,0.76375,1.22252,0.76051,0.68237,0.77266,0.51808,1.17138,1.16746,2.07647,0.00130393,0.00130393,0.00130393
